gene,orf name,description,functional category,slide(s),mating type,source of deletion mutant(s),primary Hybset(s),responsive/non-responsive,"nr. sign. changes (p<0.05, FC>1.7)",profile first published
SIN4,YNL236W,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; contributes to both postive and negative transcriptional regulation; dispensible for basal transcription,chromatin factor,NBR_00002596_S01 / NBR_00002597_S01,MATalpha,Euroscarf / Euroscarf,NBR007 / NBR007,responsive mutant,153,3
SRB5,YGR104C,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; required for proper termination of transcription for some genes; involved in telomere maintenance,chromatin factor,NBR_00005327_S01 / NBR_00005326_S01,MATalpha,Open Biosystems / Open Biosystems,NBR018 / NBR018,responsive mutant,93,"2, 3"
MED1,YPR070W,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation,chromatin factor,NBR_00004244_S01 / NBR_00004245_S01,MATalpha,Euroscarf / Euroscarf,NBR006 / NBR006,responsive mutant,109,3
SRB2,YHR041C,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; general transcription factor involved in telomere maintenance,chromatin factor,SV_00002199_S01 / SV_00002200_S01,MATalpha,Euroscarf / Euroscarf,NBR004-b / NBR004-b,responsive mutant,142,"2, 3"
MED2,YDL005C,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation,chromatin factor,NBR_00002588_S01 / NBR_00002589_S01,MATalpha,Euroscarf / Euroscarf,NBR003 / NBR003,responsive mutant,244,"2, 3"
SOH1,YGL127C,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; involved in telomere maintenance; conserved with other metazoan MED31 subunits,chromatin factor,NBR_00004242_S01 / NBR_00004243_S01,MATalpha,Euroscarf / Euroscarf,NBR004 / NBR004,responsive mutant,69,"2, 3"
PGD1,YGL025C,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for basal and activated transcription; direct target of Cyc8p-Tup1p transcriptional corepressor,chromatin factor,NBR_00004427_S01 / NBR_00004428_S01,MATalpha,Euroscarf / Euroscarf,NBR002 / NBR002,responsive mutant,177,"2, 3"
NUT1,YGL151W,"Component of the RNA polymerase II mediator complex, which is required for transcriptional activation and also has a role in basal transcription",chromatin factor,NBR_00004237_S01 / NBR_00004238_S01,MATalpha,Euroscarf / Euroscarf,NBR004 / NBR004,responsive mutant,36,3
CSE2,YNR010W,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; component of the Middle domain of mediator; required for regulation of RNA polymerase II activity,chromatin factor,NBR_00008033_S01 / NBR_00008034_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",NBR042 / NBR042,responsive mutant,139,3
MSI1,YBR195C,"Subunit of chromatin assembly factor I (CAF-1); chromatin assembly by CAF-1 is important for multiple processes including silencing at telomeres, mating type loci, and rDNA; maintenance of kinetochore structure; deactivation of the DNA damage checkpoint after DNA repair; and chromatin dynamics during transcription; Msi1p localizes to both nucleus and cytoplasm and has an independent role as a negative regulator of the RAS/cAMP pathway via sequestration of Npr1p kinase",chromatin factor,EA_00002553_S01 / EA_00002554_S01,MATalpha,Euroscarf / Euroscarf,EA006 / EA006,responsive mutant,82,3
NAP1,YKR048C,Protein that interacts with mitotic cyclin Clb2p; required for the regulation of microtubule dynamics during mitosis; controls bud morphogenesis; involved in the transport of H2A and H2B histones to the nucleus; phosphorylated by CK2,chromatin factor,JBE_00008365_S01,MATalpha,Open Biosystems,HTP034,non-responsive mutant,1,3
NGG1,YDR176W,"Transcriptional regulator involved in glucose repression of Gal4p-regulated genes; component of transcriptional adaptor and histone acetyltransferase complexes, the ADA complex, the SAGA complex, and the SLIK complex",chromatin factor,NBR_00004132_S01 / NBR_00004133_S01,MATalpha,Open Biosystems / Open Biosystems,NBR023 / NBR023,responsive mutant,223,3
NHP10,YDL002C,"Protein related to mammalian high mobility group proteins; preferentially binds DNA ends, protecting them from exonucleatic cleavage; likely component of the chromatin-remodeling complex INO80 complex; proposed to be involved in DNA repair",chromatin factor,SHE_00008340_S01 / JBE_00010209_S01,MATalpha,Open Biosystems / Open Biosystems,HTP026 / HTP100,responsive mutant,27,3
NOT3,YIL038C,"Subunit of the CCR4-NOT complex, which is a global transcriptional regulator with roles in transcription initiation and elongation and in mRNA degradation",chromatin factor,NBR_00008029_S01 / NBR_00008030_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",NBR042 / NBR042,responsive mutant,18,3
MOT2,YER068W,"Ubiquitin-protein ligase subunit of the CCR4-NOT complex; with Ubc4p, ubiquitinates nascent polypeptide-associated complex subunits and histone demethyase Jhd2p; CCR4-NOT has roles in transcription regulation, mRNA degradation, and post-transcriptional modifications",chromatin factor,LPA_00003015_S01 / LPA_00003016_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",LPA013 / LPA013,responsive mutant,757,3
NPL6,YMR091C,"Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Ldb7p, and Htl1p to form a module important for a broad range of RSC functions; involved in nuclear protein import and maintenance of proper telomere length",chromatin factor,JBE_00010290_S01 / JBE_00010291_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP112 / HTP112,responsive mutant,299,3
NTO1,YPR031W,Subunit of the NuA3 histone acetyltransferase complex that acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3,chromatin factor,SHE_00008338_S01 / JBE_00009149_S01,MATalpha,Open Biosystems / Open Biosystems,HTP026 / HTP026,non-responsive mutant,1,3
PAF1,YBR279W,"Component of the Paf1p complex involved in transcription elongation; binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cell cycle-regulated genes; involved in SER3 repression by helping to maintain SRG1 transcription-dependent nucleosome occupancy; homolog of human PD2/hPAF1",chromatin factor,NBR_00007001_S01 / NBR_00007002_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",NBR035 / NBR035,responsive mutant,444,3
PHO23,YNL097C,"Probable component of the Rpd3 histone deacetylase complex, involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus has similarity to human candidate tumor suppressor p33(ING1) and its isoform ING3",chromatin factor,SHE_00008313_S01 / SHE_00009129_S01,MATalpha,Open Biosystems / Open Biosystems,HTP019 / HTP019,responsive mutant,121,3
RAD6,YGL058W,"Ubiquitin-conjugating enzyme (E2), involved in postreplication repair (as a heterodimer with Rad18p), DSBR and checkpoint control (as a heterodimer with Bre1p), ubiquitin-mediated N-end rule protein degradation (as a heterodimer with Ubr1p",chromatin factor,LPA_00003818_S01 / LPA_00003819_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",LPA021 / LPA021,responsive mutant,265,3
RCO1,YMR075W,Essential subunit of the histone deacetylase Rpd3S complex; interacts with Eaf3p,chromatin factor,TLS_00008018_S01 / TLS_00008019_S01,MATalpha,Open Biosystems / Open Biosystems,HTP009 / HTP009,responsive mutant,27,3
RFM1,YOR279C,DNA-binding protein required for vegetative repression of middle sporulation genes; specificity factor that directs the Hst1p histone deacetylase to some of the promoters regulated by Sum1p; involved in telomere maintenance,chromatin factor,JBE_00008669_S01 / TLS_00009811_S01,MATalpha,Open Biosystems / Open Biosystems,HTP022 / HTP022,responsive mutant,114,3
RPD3,YNL330C,"Histone deacetylase; regulates transcription, silencing, and other processes by influencing chromatin remodeling; forms at least two different complexes which have distinct functions and members",chromatin factor,TLS_00006510_S01 / TLS_00006511_S01,MATalpha,Open Biosystems / Open Biosystems,TLS022 / TLS022,responsive mutant,288,3
RSC1,YGR056W,"Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; contains two essential bromodomains, a bromo-adjacent homology (BAH) domain, and an AT hook",chromatin factor,JBE_00009255_S01 / TLS_00009857_S01,MATalpha,Euroscarf / Euroscarf,HTP081 / HTP081,responsive mutant,82,3
RSC2,YLR357W,Component of the RSC chromatin remodeling complex; required for expression of mid-late sporulation-specific genes; involved in telomere maintenance,chromatin factor,JBE_00009256_S01 / TLS_00009858_S01,MATalpha,Euroscarf / Euroscarf,HTP081 / HTP081,responsive mutant,225,3
RSC30,YHR056C,Component of the RSC chromatin remodeling complex; non-essential gene required for regulation of ribosomal protein genes and the cell wall/stress response; highly similar to Rsc3p; null mutants are osmosensitive,chromatin factor,TLS_00009790_S01 / JBE_00010211_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP102 / HTP109,responsive mutant,56,3
RTF1,YGL244W,"Subunit of RNAPII-associated chromatin remodeling Paf1 complex; regulates gene expression by directing cotranscriptional histone modification, influences transcription and chromatin structure through several independent functional domains; directly or indirectly regulates DNA-binding properties of Spt15p and relative activities of different TATA elements; involved in transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay",chromatin factor,NBR_00004359_S01 / NBR_00004360_S01,MATalpha,Open Biosystems / Open Biosystems,NBR024 / NBR024,responsive mutant,132,3
RTG2,YGL252C,"Sensor of mitochondrial dysfunction; regulates the subcellular location of Rtg1p and Rtg3p, transcriptional activators of the retrograde (RTG) and TOR pathways; Rtg2p is inhibited by the phosphorylated form of Mks1p",chromatin factor,JBE_00010586_S01 / JBE_00010587_S01,MATalpha,Open Biosystems / Open Biosystems,HTP121 / HTP121,responsive mutant,43,3
RTT102,YGR275W,"Component of both the SWI/SNF and RSC chromatin remodeling complexes, suggested role in chromosome maintenance; possible weak regulator of Ty1 transposition",chromatin factor,JBE_00009020_S01,MATalpha,Open Biosystems,HTP023,non-responsive mutant,1,3
RTT106,YNL206C,"Histone chaperone, involved in regulation of chromatin structure in both transcribed and silenced chromosomal regions; affects transcriptional elongation; has a role in regulation of Ty1 transposition",chromatin factor,JBE_00009180_S01 / JBE_00008159_S01,MATalpha,Open Biosystems / Open Biosystems,HTP046 / HTP046,responsive mutant,61,3
RTT109,YLL002W,Histone acetyltransferase critical for cell survival in the presence of DNA damage during S phase; acetylates H3-K56 and H3-K9; involved in non-homologous end joining and in regulation of Ty1 transposition; interacts physically with Vps75p,chromatin factor,JBE_00009410_S01 / JBE_00009665_S01,MATalpha,Open Biosystems / Open Biosystems,HTP095 / HTP095,responsive mutant,222,3
RXT2,YBR095C,Subunit of the histone deacetylase Rpd3L complex; possibly involved in cell fusion and invasive growth,chromatin factor,SHE_00008339_S01 / SHE_00009134_S01,MATalpha,Open Biosystems / Open Biosystems,HTP026 / HTP026,responsive mutant,117,3
RXT3,YDL076C,Subunit of the RPD3L complex; involved in histone deacetylation,chromatin factor,SHE_00008341_S01 / SHE_00009136_S01,MATalpha,Open Biosystems / Open Biosystems,HTP026 / HTP026,responsive mutant,21,3
SAP30,YMR263W,"Subunit of a histone deacetylase complex, along with Rpd3p and Sin3p, that is involved in silencing at telomeres, rDNA, and silent mating-type loci; involved in telomere maintenance",chromatin factor,JBE_00008933_S01 / TLS_00009702_S01,MATalpha,Open Biosystems / Open Biosystems,HTP040 / HTP040,responsive mutant,154,3
SAS2,YMR127C,"Histone acetyltransferase (HAT) catalytic subunit of the SAS complex (Sas2p-Sas4p-Sas5p), which acetylates free histones and nucleosomes and regulates transcriptional silencing; member of the MYSTacetyltransferase family",chromatin factor,SV_00003289_S01 / SV_00003290_S01,MATalpha,Euroscarf / Euroscarf,SV021 / SV021,responsive mutant,44,3
SAS3,YBL052C,"Histone acetyltransferase catalytic subunit of NuA3 complex that acetylates histone H3, involved in transcriptional silencing; homolog of the mammalian MOZ proto-oncogene; mutant has aneuploidy tolerance; sas3gcn5 double mutation is lethal",chromatin factor,SV_00003291_S01 / SV_00003292_S01,MATalpha,Euroscarf / Euroscarf,SV021 / SV021,non-responsive mutant,3,3
SAS4,YDR181C,"Subunit of the SAS complex (Sas2p, Sas4p, Sas5p), which acetylates free histones and nucleosomes and regulates transcriptional silencing; required for the HAT activity of Sas2p",chromatin factor,MMK_00006029_S01 / MMK_00006030_S01,MATalpha,Open Biosystems / Open Biosystems,MMK027 / MMK027,responsive mutant,33,3
SAS5,YOR213C,"Subunit of the SAS complex (Sas2p, Sas4p, Sas5p), which acetylates free histones and nucleosomes and regulates transcriptional silencing; stimulates Sas2p HAT activity",chromatin factor,JBE_00008698_S01 / JBE_00009278_S01,MATalpha,Open Biosystems / Open Biosystems,HTP017 / HTP085,responsive mutant,23,3
SDC1,YDR469W,"Subunit of the COMPASS (Set1C) complex, which methylates lysine 4 of histone H3 and is required in chromatin silencing at telomeres; contains a Dpy-30 domain that mediates interaction with Bre2p; similar to C. elegans and human DPY-30",chromatin factor,NBR_00003475_S01 / NBR_00003476_S01,MATa,"Geli lab, CNRS / Geli lab, CNRS",NBR014 / NBR014,responsive mutant,30,3
SDS3,YIL084C,"Component of the Rpd3p/Sin3p deacetylase complex required for its structural integrity and catalytic activity, involved in transcriptional silencing and required for sporulation; cells defective in SDS3 display pleiotropic phenotypes",chromatin factor,JBE_00010249_S01 / JBE_00010248_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP110 / HTP110,responsive mutant,200,3
SET1,YHR119W,"Histone methyltransferase, subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3K4; Set1p-dependent H3K4 trimethylation recruits Nrd1p, allowing efficient termination of snoRNAs and cryptic unstable transcripts (CUTs) by Nrd1p-Nab3p-Sen1p pathway; modulates histone acetylation levels in promoter proximal regions to ensure efficient Nrd1p-dependent termination; required in transcriptional silencing near telomeres and at silent mating type loci; has a SET domain",chromatin factor,NBR_00004246_S01 / NBR_00004247_S01,MATa,"Geli lab, CNRS / Geli lab, CNRS",NBR015 / NBR015,responsive mutant,55,3
SET2,YJL168C,"Histone methyltransferase with a role in transcriptional elongation, methylates a lysine residue of histone H3; associates with the C-terminal domain of Rpo21p; histone methylation activity is regulated by phosphorylation status of Rpo21p",chromatin factor,THM_00004050_S01 / THM_00004490_S01,MATalpha,Open Biosystems / Open Biosystems,THM004 / THM004,responsive mutant,72,3
SET3,YKR029C,Defining member of the SET3 histone deacetylase complex which is a meiosis-specific repressor of sporulation genes; necessary for efficient transcription by RNAPII; one of two yeast proteins that contains both SET and PHD domains,chromatin factor,JBE_00008516_S01 / JBE_00009159_S01,MATalpha,Open Biosystems / Open Biosystems,HTP038 / HTP038,responsive mutant,6,3
SGF11,YPL047W,"Integral subunit of SAGA histone acetyltransferase complex, regulates transcription of a subset of SAGA-regulated genes, required for the Ubp8p association with SAGA and for H2B deubiquitylation",chromatin factor,JBE_00010592_S01 / JBE_00010593_S01,MATalpha,Open Biosystems / Open Biosystems,HTP121 / HTP121,non-responsive mutant,2,3
SGF29,YCL010C,"Component of the HAT/Core module of the SAGA, SLIK, and ADA complexes; HAT/Core module also contains Gcn5p, Ngg1p, and Ada2p; binds methylated histone H3K4; involved in transcriptional regulation through SAGA and TBP recruitment to target promoters and H3 acetylation",chromatin factor,NBR_00004134_S01 / NBR_00004135_S01,MATalpha,Open Biosystems / Open Biosystems,NBR023 / NBR023,responsive mutant,69,3
SGF73,YGL066W,SAGA complex subunit; has a role in anchoring the deubiquitination module into SAGA and SLIK complexes; involved in preinitiation complex assembly at promoters; human ortholog ataxin-7 is associated with spinocerebellar ataxia diseases; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay,chromatin factor,NBR_00004136_S01 / NBR_00004137_S01,MATalpha,Open Biosystems / Open Biosystems,NBR023 / NBR023,responsive mutant,102,3
SHG1,YBR258C,"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres",chromatin factor,NBR_00003323_S01,MATalpha,Open Biosystems,NBR018,non-responsive mutant,1,3
SIF2,YBR103W,"WD40 repeat-containing subunit of the Set3C histone deacetylase complex, which represses early/middle sporulation genes; antagonizes telomeric silencing; binds specifically to the Sir4p N-terminus",chromatin factor,TLS_00007190_S01 / TLS_00007189_S01,MATalpha,Open Biosystems / Open Biosystems,TLS037 / TLS037,responsive mutant,17,3
SIN3,YOL004W,"Component of the Sin3p-Rpd3p histone deacetylase complex, involved in transcriptional repression and activation of diverse processes, including mating-type switching and meiosis; involved in the maintenance of chromosomal integrity",chromatin factor,JBE_00009254_S01 / TLS_00009856_S01,MATalpha,Euroscarf / Euroscarf,HTP081 / HTP081,responsive mutant,240,3
SIR1,YKR101W,"Protein involved in repression of transcription at the silent mating-type loci HML and HMR; recruitment to silent chromatin requires interactions with Orc1p and with Sir4p, through a common Sir1p domain; binds to centromeric chromatin",chromatin factor,JBE_00009732_S01 / JBE_00009731_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",HTP077 / HTP077,responsive mutant,6,3
SIR2,YDL042C,"Conserved NAD+ dependent histone deacetylase of the Sirtuin family; involved in regulation of lifespan; plays roles in silencing at HML, HMR, telomeres, and the rDNA locus; negatively regulates initiation of DNA replication; functions as a regulator of autophagy like mammalian homolog SIRT1, and also of mitophagy",chromatin factor,SWA_00006633_S01 / SWA_00006634_S01,MATalpha,Euroscarf / Euroscarf,SEL07 / SEL07,responsive mutant,82,3
SIR3,YLR442C,"Silencing protein that interacts with Sir2p and Sir4p, and histone H3 and H4 tails, to establish a transcriptionally silent chromatin state; required for spreading of silenced chromatin; recruited to chromatin through interaction with Rap1p",chromatin factor,TLS_00007039_S01 / TLS_00007040_S01,MATalpha,Open Biosystems / Open Biosystems,TLS038 / TLS038,responsive mutant,88,3
SIR4,YDR227W,"Silent information regulator that, together with SIR2 and SIR3, is involved in assembly of silent chromatin domains at telomeres and the silent mating-type loci; potentially phosphorylated by Cdc28p; some alleles of SIR4 prolong lifespan",chromatin factor,TLS_00007041_S01 / TLS_00007042_S02,MATalpha,Euroscarf / Euroscarf,TLS038 / TLS038,responsive mutant,84,3
SNF11,YDR073W,Subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p,chromatin factor,TLS_00008084_S01 / TLS_00008085_S01,MATalpha,Open Biosystems / Open Biosystems,HTP016 / HTP016,responsive mutant,8,3
SNF12,YNR023W,73 kDa subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; homolog of Rsc6p subunit of the RSC chromatin remodeling complex; deletion mutants are temperature-sensitive,chromatin factor,SHE_00008325_S01 / JBE_00009141_S01,MATalpha,Open Biosystems / Open Biosystems,HTP025 / HTP025,responsive mutant,223,3
SNF2,YOR290C,Catalytic subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; contains DNA-stimulated ATPase activity; functions interdependently in transcriptional activation with Snf5p and Snf6p,chromatin factor,JBE_00009225_S01 / TLS_00009850_S01,MATalpha,Euroscarf / Euroscarf,HTP094 / HTP094,responsive mutant,166,3
SNF5,YBR289W,Subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; functions interdependently in transcriptional activation with Snf2p and Snf6p,chromatin factor,SHE_00008315_S01 / SHE_00009131_S01,MATalpha,Open Biosystems / Open Biosystems,HTP019 / HTP019,responsive mutant,162,3
SNF6,YHL025W,Subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; functions interdependently in transcriptional activation with Snf2p and Snf5p,chromatin factor,JBE_00008809_S01 / JBE_00009158_S01,MATalpha,Euroscarf / Euroscarf,HTP028 / HTP028,responsive mutant,168,3
SNT1,YCR033W,"Subunit of the Set3C deacetylase complex that interacts directly with the Set3C subunit, Sif2p; putative DNA-binding protein; mutant has increased aneuploidy tolerance",chromatin factor,SHE_00008330_S01 / SHE_00009130_S01,MATalpha,Open Biosystems / Open Biosystems,HTP025 / HTP025,responsive mutant,20,3
SPP1,YPL138C,"Subunit of COMPASS (Set1C), a complex which methylates histone H3 on lysine 4 and is required in telomeric transcriptional silencing; interacts with Orc2p; PHD finger domain protein similar to human CGBP, an unmethylated CpG binding protein",chromatin factor,NBR_00004288_S01 / NBR_00004289_S01,MATa,"Geli lab, CNRS / Geli lab, CNRS",NBR014 / NBR014,responsive mutant,6,3
SPT20,YOL148C,Subunit of the SAGA transcriptional regulatory complex; involved in maintaining the integrity of the complex; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay,chromatin factor,NBR_00004210_S01 / NBR_00004211_S01,MATalpha,Open Biosystems / Open Biosystems,NBR025 / NBR025,responsive mutant,446,3
SPT3,YDR392W,"Subunit of the SAGA and SAGA-like transcriptional regulatory complexes, interacts with Spt15p to activate transcription of some RNA polymerase II-dependent genes, also functions to inhibit transcription at some promoters",chromatin factor,EA_00005261_S01 / EA_00005262_S01,MATalpha,Euroscarf / Euroscarf,EA013 / EA013,responsive mutant,148,3
SPT7,YBR081C,"Subunit of the SAGA transcriptional regulatory complex, involved in proper assembly of the complex; also present as a C-terminally truncated form in the SLIK/SALSA transcriptional regulatory complex",chromatin factor,NBR_00007003_S01 / NBR_00007004_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",NBR035 / NBR035,responsive mutant,318,3
SPT8,YLR055C,"Subunit of the SAGA transcriptional regulatory complex but not present in SAGA-like complex SLIK/SALSA, required for SAGA-mediated inhibition at some promoters",chromatin factor,NBR_00004353_S01 / NBR_00004354_S01,MATalpha,Open Biosystems / Open Biosystems,NBR024 / NBR024,responsive mutant,97,3
CYC8,YBR112C,"General transcriptional co-repressor, acts together with Tup1p; also acts as part of a transcriptional co-activator complex that recruits the SWI/SNF and SAGA complexes to promoters; can form the prion [OCT+]",chromatin factor,GA_00007308_S01 / GA_00007309_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",GAM002 / GAM002,responsive mutant,973,"3, 4"
STB2,YMR053C,Protein that interacts with Sin3p in a two-hybrid assay and is part of a large protein complex with Sin3p and Stb1p,chromatin factor,JBE_00008232_S01,MATalpha,Open Biosystems,HTP014,non-responsive mutant,1,3
SUS1,YBR111W-A,Component of both the SAGA histone acetylase and TREX-2 complexes; interacts with RNA polymerase II; involved in mRNA export coupled transcription activation and elongation; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP,chromatin factor,NBR_00004355_S01 / NBR_00004356_S01,MATalpha,Open Biosystems / Open Biosystems,NBR024 / NBR024,responsive mutant,53,3
SWC3,YAL011W,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",chromatin factor,JBE_00010590_S01 / JBE_00010591_S01,MATalpha,Euroscarf / Euroscarf,HTP121 / HTP121,responsive mutant,13,3
SWC5,YBR231C,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A",chromatin factor,JBE_00010199_S01 / JBE_00010198_S01,MATalpha,Open Biosystems / Open Biosystems,HTP108 / HTP108,responsive mutant,25,3
SWC7,YLR385C,"Protein of unknown function, component of the Swr1p complex that incorporates Htz1p into chromatin",chromatin factor,JBE_00008394_S01 / JBE_00009197_S01,MATalpha,Open Biosystems / Open Biosystems,HTP027 / HTP093,non-responsive mutant,1,3
SWD1,YAR003W,"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7",chromatin factor,NBR_00004290_S01 / NBR_00004291_S01,MATa,"Geli lab, CNRS / Geli lab, CNRS",NBR013 / NBR013,responsive mutant,45,3
SWD3,YBR175W,"Essential subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member and ortholog of mammalian WDR5",chromatin factor,NBR_00004292_S01 / NBR_00004293_S01,MATa,"Geli lab, CNRS / Geli lab, CNRS",NBR013 / NBR013,responsive mutant,82,3
SWI3,YJL176C,"Subunit of the SWI/SNF chromatin remodeling complex, which regulates transcription by remodeling chromosomes; required for transcription of many genes, including ADH1, ADH2, GAL1, HO, INO1 and SUC2",chromatin factor,JBE_00010243_S01 / JBE_00010242_S01,MATalpha,Open Biosystems / Open Biosystems,HTP110 / HTP110,responsive mutant,178,3
SWP82,YFL049W,Member of the SWI/SNF chromatin remodeling complex in which it plays an as yet unidentified role; has identifiable counterparts in closely related yeast species; abundantly expressed in many growth conditions; paralog of Npl6p,chromatin factor,JBE_00009019_S01,MATalpha,Open Biosystems,HTP023,non-responsive mutant,1,3
SWR1,YDR334W,"Swi2/Snf2-related ATPase that is the structural component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A",chromatin factor,EA_00005267_S01 / EA_00005268_S01,MATalpha,Euroscarf / Euroscarf,EA013 / EA013,responsive mutant,32,3
TOD6,YBL054W,"PAC motif binding protein involved in rRNA and ribosome biogenesis; subunit of the RPD3L histone deacetylase complex; Myb-like HTH transcription factor, similar to Dot6p; hypophosphorylated by rapamycin treatment in a Sch9p-dependent manne",chromatin factor,TLS_00008130_S01 / TLS_00008131_S01,MATalpha,Open Biosystems / Open Biosystems,HTP007 / HTP007,non-responsive mutant,1,3
TOS4,YLR183C,Forkhead Associated domain containing protein and putative transcription factor found associated with chromatin; target of SBF transcription factor; expression is periodic and peaks in G1; similar to PLM2,chromatin factor,TLS_00009619_S01 / JBE_00010110_S01,MATalpha,Open Biosystems / Open Biosystems,HTP084 / HTP084,non-responsive mutant,0,3
TUP1,YCR084C,"General repressor of transcription, forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes",chromatin factor,NBR_00004141_S01 / NBR_00004140_S01,MATalpha,"Holstege lab, UMC Utrecht / Holstege lab, UMC Utrecht",NBR030 / NBR030,responsive mutant,607,"3, 4"
UBP8,YMR223W,Ubiquitin-specific protease that is a component of the SAGA (Spt-Ada-Gcn5-Acetyltransferase) acetylation complex; required for SAGA-mediated deubiquitination of histone H2B,chromatin factor,MMK_00006045_S01 / MMK_00006046_S01,MATalpha,Euroscarf / Euroscarf,LPA009_1 / LPA009_1,responsive mutant,7,3
UME1,YPL139C,"Negative regulator of meiosis, required for repression of a subset of meiotic genes during vegetative growth, binding of histone deacetylase Rpd3p required for activity, contains a NEE box and a WD repeat motif; homologous with Wtm1p, Wtm2p",chromatin factor,JBE_00008696_S01 / JBE_00009276_S01,MATalpha,Open Biosystems / Open Biosystems,HTP015 / HTP085,responsive mutant,8,3
VPS71,YML041C,"Nucleosome-binding component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting",chromatin factor,SHE_00008331_S01 / JBE_00009145_S01,MATalpha,Open Biosystems / Open Biosystems,HTP025 / HTP025,responsive mutant,17,3
VPS72,YDR485C,"Htz1p-binding component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting",chromatin factor,SHE_00008342_S01 / JBE_00009152_S01,MATalpha,Open Biosystems / Open Biosystems,HTP026 / HTP026,responsive mutant,20,3
VPS75,YNL246W,"NAP family histone chaperone; binds to histones and Rtt109p, stimulating histone acetyltransferase activity; possesses nucleosome assembly activity in vitro; proposed role in vacuolar protein sorting and in double-strand break repair",chromatin factor,JBE_00009523_S01 / JBE_00010145_S01,MATalpha,Open Biosystems / Open Biosystems,HTP096 / HTP096,non-responsive mutant,2,3
